,Tweets,polarity
10,"RT @garyblack00: Retweeting. Of the big 6, here’s what happened with 1Q earnings:
- $TSLA beat
- $GOOG missed
- $MSFT beat 
- $FB beat
- $A…","{'neg': 0.095, 'neu': 0.905, 'pos': 0.0, 'compound': -0.296}"
11,"RT @NestBetter: Quick reminder, $AMZN extended the useful life of their servers from 4 to 5 years, and operating margins expanded from 30 t…","{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.4404}"
12,RT @LeifSoreide: With big names like $AMZN and $GOOG trending lower I'm treating all rallies as guilty until proven innocent. https://t.co/…,"{'neg': 0.186, 'neu': 0.632, 'pos': 0.182, 'compound': -0.0258}"
13,With big names like $AMZN and $GOOG trending lower I'm treating all rallies as guilty until proven innocent. https://t.co/24obAnmAKf,"{'neg': 0.201, 'neu': 0.602, 'pos': 0.197, 'compound': -0.0258}"
14,"$OST closed down 88%!? BOUNCING! TINY FLOAT! No shares available to short!

$ACB $NVAX $MRNA $CGC $DKNG $AAL $SAVE… https://t.co/gUVkcmoaZ7","{'neg': 0.098, 'neu': 0.804, 'pos': 0.098, 'compound': 0.0}"
15,$SONY Sony stock will surpass $DIS Disney stock and the $AAPL Apple market capitalization $T $CMCSA $SSNLF $CS… https://t.co/uUpn8gZnNj,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
16,After #SpiderManNoWayHome huge success $SONY Sony' #UnchartedMovie  #Uncharted #UnchartedLegacyOfThieves #Morbius… https://t.co/Ge5iZkNxht,"{'neg': 0.0, 'neu': 0.6, 'pos': 0.4, 'compound': 0.7184}"
17,"S&amp;PダウNASDAQは下げ足を速めています。場中の下落の主因はマイクロソフト $MSFT とグーグル $GOOG.アマゾンは急落のまま。
ただ、全体で見ても少しずつ下げ幅が大きくなっています。 https://t.co/KkfWillm7Z","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
18,"Portfolio rotation out of bubbles into growth
Out of $AAPL Apple $MSFT Microsoft $GOOG into $SONY Sony
Out of $TSLA… https://t.co/a8x4g0VvH2","{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.3818}"
19,"$OST closed down 88%!? BOUNCING! TINY FLOAT! No shares available to short!💸

$spy $v $qcom $chk $xom $amzn $chwy… https://t.co/jfCciAsdk3","{'neg': 0.098, 'neu': 0.804, 'pos': 0.098, 'compound': 0.0}"
20,"I want to see $MSFT trading above 290, $GOOG above $2400 and $AMZN above $2800 by EOM.","{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.0772}"
21,"$OST closed down 88%!? BOUNCING! TINY FLOAT! No shares available to short!💸

$SPY $SPX $QQQ $ES_F $NQ_F $RTY_F… https://t.co/K9dTx63QQr","{'neg': 0.103, 'neu': 0.794, 'pos': 0.103, 'compound': 0.0}"
22,"Started a position in $AMZN 

Would like to top up $GOOG at 2250 

I'm a bit frustrated $FB popped off, on what I t… https://t.co/TzLvfyP9OC","{'neg': 0.127, 'neu': 0.712, 'pos': 0.161, 'compound': -0.0258}"
23,"$AAPL $GOOG $GLD $QQQ $SPY $MTCH $RIOT $MARA $IRRZF $KOAN $INTC $IBO

Best discord group for the traders join here… https://t.co/9qzdAJFKcu","{'neg': 0.1, 'neu': 0.664, 'pos': 0.236, 'compound': 0.5719}"
24,"RT @patrickcomack: Musk is selling $TSLA bc it is a small, criminal car company w/ a $1 trillion market cap, which is 39% of $AAPL, 47% of…","{'neg': 0.124, 'neu': 0.876, 'pos': 0.0, 'compound': -0.5267}"
25,"$SPY $QQQ $NDX $DIA $IWM $NFLX $FB $INTC $SMH $AAPL $GOOG 
Stay at home safe and earn money at home by trading mark… https://t.co/oiId7KruP0","{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.4404}"
26,"$OST closed down 88%!? BOUNCING! TINY FLOAT! No shares available to short! $6+ SQUEEZE coming

$AAPL $GOOG $INTC… https://t.co/4V75rz2Uoz","{'neg': 0.103, 'neu': 0.794, 'pos': 0.103, 'compound': 0.0}"
27,"$GOOG is recession proof, IMO, and extremely well diversified in its own businesses. I will keep adding when I can.","{'neg': 0.132, 'neu': 0.755, 'pos': 0.113, 'compound': -0.1045}"
28,"$OST closed down 88%!? HUGE BUYS. TINY FLOAT. BOOM

$btc $doge $tsla $spy $brk $fb $f $gm $cciv $gme $dia $eth $cvx… https://t.co/3bSViQLHbb","{'neg': 0.0, 'neu': 0.869, 'pos': 0.131, 'compound': 0.5147}"
29,"Learn To Trade While You're Working From Home&gt;https://t.co/1ikMLSWlKg

$AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ… https://t.co/FrDqqnSoMu","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
30,"$OST BOUNCING! Closed down 88%!  TINY FLOAT. No shares available to short💸📈

$aapl $amc $aprn $btcm $btx $gme $fb… https://t.co/yXtuWB9Bjn","{'neg': 0.098, 'neu': 0.804, 'pos': 0.098, 'compound': 0.0}"
31,@InvestorVideos Why is $GOOG reaction negative and $MSFT positive in this case..,"{'neg': 0.214, 'neu': 0.578, 'pos': 0.208, 'compound': -0.0258}"
32,Why are ppl still buying SPY.. $GOOG $AMZN down.. and will be for a while as their earnings and growth prospects ar… https://t.co/CZidwLyfrW,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.5859}"
33,"RT @IPOEdge: REPLAY - Pioneering Smart Spaces From Whole Foods to Fast Food: Join #CEOs of @BrivoInc, Crown Proptech to discuss #SPAC combi…","{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.5994}"
34,$GOOG appears in a scan that looks for a high probability naked puts on stocks that are oversold. It has good stock… https://t.co/ZBBqAiocSv,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.4404}"
35,"Today Top Flow in #NASDAQ #NASDAQ100, Buy Flow &amp; Sell Flow $FB $TSLA $AMD $AAPL $AMZN $NVDA $BKNG $BIDU $DXCM… https://t.co/bgQz9FN3t4","{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.2023}"
36,RT @BretKenwell: Alphabet $GOOGL $GOOG announced an additional $70 billion buyback -- anyone know much was left on the old one?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
37,"@cashdaddiespod If you had $PUTS in the last month on $TSLA, $AAPL, $GOOG, $NVDA, $AMZN and virtually anything else… https://t.co/Segf2Ov4tt","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
38,"RT @StockMKTNewz: Google $GOOGL acquired YouTube for $1.65 Billion back in October 2006

In just Q1 2022 YouTube brought in $6.9 Billion of…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
39,"$GOOG 05/06/22 $2325.00 CALL

Type: large
Time: 08:51:45
Total Size: 50 Contracts
Total Value: $381350
Average Pric… https://t.co/Xy5nEcVdXl","{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.34}"
40,"RT @PatrickMoorhead: Ep 120 of the @SixFivePodcast with @danielnewmanUV and I are LIVE! talking:
1/ @Microsoft earnings $MSFT
2/ @Google ea…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
41,"$OST closed down 88%! BIDS STACKING  TINY FLOAT. Looking for $6+. NO SHARES AVAILABLE TO SHORT

$BTC $ETH $KNC $SXP… https://t.co/ubLiyR3pKF","{'neg': 0.118, 'neu': 0.764, 'pos': 0.118, 'compound': 0.0}"
42,Alphabet $GOOGL $GOOG announced an additional $70 billion buyback -- anyone know much was left on the old one?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
43,"Ep 120 of the @SixFivePodcast with @danielnewmanUV and I are LIVE! talking:
1/ @Microsoft earnings $MSFT
2/ @Google… https://t.co/dZYzad2GW2","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
44,"FAANG Q1 Revenue Growth
$FB 6.6%
$AAPL 8.6%
$AMZN 7.3%
$NFLX 9.9%
$GOOG 23%
$MSFT 18.5%
$TSLA 65%

Q1 Inflation was 7.9%","{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.3818}"
45,"Stop Putin  Chat room in terms of  alert calls, Analysis

 $PLTR $SQ $BA $F $PLUG $SHIB.X $GE $XRP.X $SPCE $FCEL… https://t.co/sEQgCcYhCq","{'neg': 0.094, 'neu': 0.812, 'pos': 0.094, 'compound': 0.0}"
46,"$GOOG 09/16/22 $2000.00 CALL

Type: large
Time: 08:55:00
Total Size: 10 Contracts
Total Value: $447000
Average Pric… https://t.co/kEWrt77jvN","{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.34}"
47,"$GOOG #Options Power, #Options #maxpain Chart, Open Interest Chart Update #OptionsTrading #OptionsFlow… https://t.co/OE0qgWI3pT","{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.4588}"
48,"We are LIVE! talking @Microsoft, @Google, @Qualcomm, @Honeywell earnings, @Oracle opens Industry labs. $MSFT $GOOG… https://t.co/5p56C0Zztt","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
49,"RT @DrDividend47: I spent hours analyzing Google’s business and earnings reports so you don’t have to

Here’s what I learned $GOOG 

🧵👇 htt…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
50,earnings lotto port up 30% this morning from my earnings alerts yesterday. 5/5 earnings hit this week. Let’s goooo… https://t.co/qhfFypGmZr,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
51,$OST down 88%!? Stop sleeping on it here. TINY FLOAT  OVERKILL. Looking for $6+ short term. NO SHARES AVAILABLE TO… https://t.co/Pk0NRlr6BZ,"{'neg': 0.206, 'neu': 0.683, 'pos': 0.111, 'compound': -0.3595}"
52,@technicaltradesetups last week we said goodbye to $NFLX… last quarter it was Facebook.  This week it’s $AMZN and… https://t.co/8xNZD3BXq9,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
53,Added 1 more share $GOOG 2370,"{'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.3597}"
54,RT @bob4punk: $link I mean...throw in Eric Schmidt and its game set match... November cannot come fast enough 👀SWIFT... this reminds me of…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
55,@rditrych @PayPal @Shopify @Microsoft Podobnie $ROKU wg mnie było by dobrym celem np dla $GOOG,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.34}"
56,"Alphabet a buy on this pull back.  https://t.co/fRU6EubTxK 
#StocksToBuy #StockMarket #investing $goog $googl #Alphabet","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
57,"$OST HUGE BUYS just crushed that massive wall at $3.99 the SQUEEZE is on!

$ACB $MRNA $CGC $DKNG $AAL  $PLAY $DOCU… https://t.co/ldnLIpY0lG","{'neg': 0.107, 'neu': 0.766, 'pos': 0.127, 'compound': 0.1343}"
58,$BBIG $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB $TWTR $GS $S $GOOG $DIS  $IBM $MSFT $GOOGL  Crowd-sourc… https://t.co/z0msaMv1V1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
59,"RT @nobustocks: GAFAMTの決算が出揃ったので、業績をまとめてみました。

各社明暗が分かれましたね。 

• $AMZN $GOOG は、特に厳しい。
• $FB も良い決算内容とは思えなかったが、割安感から買われたか。
•この中で決算内容を見て投資するなら…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
60,"$GOOG 01/20/23 $2000.00 CALL

Type: block
Time: 08:38:37
Total Size: 4 Contracts
Total Value: $199995
Average Price… https://t.co/h3SZzakKOG","{'neg': 0.143, 'neu': 0.739, 'pos': 0.118, 'compound': -0.128}"
61,"$VIX is down...... $TSLA is up... this #Stockmarket will end  + by end of the day
$TSLA $QQQ $AMC #Bitcoin #BTC… https://t.co/fcbXWBWHLD","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
62,RT @StockMa40636171: $BA $BBIG $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB $TWTR $GS $S $GOOG $DIS  $IBM $MSFT $GOOGL Crowd-sourc…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
63,"$OST closed down 88%!? TINY FLOAT! NO SHARES AVAILABLE TO SHORT!

$BTC $ETH $LINK $XTZ $ADA $VET $KNC $SXP $TWTR… https://t.co/f7IEikfRLW","{'neg': 0.118, 'neu': 0.764, 'pos': 0.118, 'compound': 0.0}"
64,$BA $BBIG $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB $TWTR $GS $S $GOOG $DIS  $IBM $MSFT $GOOGL Crowd-so… https://t.co/PJsFlmlEsf,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
65,"Where else DID I SEE #MinistryOfTruth ????? hmmmm
https://t.co/LTHWbJ9geY
.
$TSLA $QQQ $AMC #Bitcoin #BTC $ARKK… https://t.co/gFL9oG8pbD","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
66,"$TSLA $QQQ $AMC  $ARKK $GOOG $AAPL $GME $AMZN $NIO $DOGE Crowd-sourced alerts, ranking system, and get paid being a… https://t.co/yIvuTUGXxD","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
67,"3/ Ad revenues growth slowed to 23% leading $AMZN to join the likes of $GOOG and $FB

4/ AWS grew another 37% recor… https://t.co/pIpQFgIZYR","{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.765}"
68,"Here the thing atm… with GDP negative, the FED can’t raised rates at the pace they wanted! They will BUT way less!… https://t.co/FMtMKHGdld","{'neg': 0.118, 'neu': 0.882, 'pos': 0.0, 'compound': -0.4468}"
69,I can NOT believe TRUE #Liberals are OK with this #MinistryOfTruth from #BIDEN ..... NAZI GERMANY btw had ONE......… https://t.co/bKC3ptJuVq,"{'neg': 0.126, 'neu': 0.745, 'pos': 0.129, 'compound': 0.0151}"
70,"@JerryCap @InvestingRabbit @pekwat Nha, disagree... Great for regulatory issues. Many companies, such as $MSFT and… https://t.co/Fi8X9HkhCY","{'neg': 0.0, 'neu': 0.785, 'pos': 0.215, 'compound': 0.6249}"
71,"と思ったけど $CRWD $MDB にINしておく。
$XOM 

🇺🇸用キャッシュは50%くらい。
昨日利確した $GOOG $AAPL の資金はまだ使わない✋","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
72,$OST closed down 88%! TINY float SQUEEZED it up from $4- $47 in 24 hours. No shares available to short. LOOK AT ALL… https://t.co/Tlu8Y4RRJQ,"{'neg': 0.083, 'neu': 0.833, 'pos': 0.083, 'compound': 0.0}"
73,"Look at $MSFT $FB $AAPL $AMZN $GOOG $NFLX $TSLA multiples ans tell me why $SONY Sony isn't $1,000 yet?
 $SONY Sony… https://t.co/3SlLgP1bRU","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
74,RT @TicTocTick: Smash the like 💕 button if your beak 🐦 got wet this week by my earnings call on $NFLX or $FB or $TSLA or $AMZN or $GOOG and…,"{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.3612}"
75,"Over 250 Games Now Have Confirmed To Have Support For $SONY #Sony  #DualSense Wireless Controller!

#PS5… https://t.co/ydygoSm7Ys","{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.4574}"
76,Commented on $GOOG $GOOGL - Why Google Stock Is A Buy Currently. https://t.co/rWyaPl36dE,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
77,"💯 $BLEG 💥 @BrandedLegacy @SpikesCBDX @elev8hemp Branded Legacy, Inc. Eliminates Over Three Hundred Twenty Thousand… https://t.co/5TB0LDzLfQ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
78,$SONY Sony now owns the metaverse https://t.co/bbaF0ZcCFg $SNE $MSFT $EA $SFTBY $FB $NFLX $META $HERO $JPM $GS $JEF… https://t.co/9dsK0vqQGN,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
79,"Anyone knows why a trillion dollar company like $SONY Sony $SNE is trading around $100 or $100 billion ?
#nikkei… https://t.co/dxPtborPzW","{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.3612}"
80,"$GOOG about to squeeze!!! Major naked short attack here💸

$AAPL $MSFT $NOK $SNAP $ATHN $ATOS $AKER $MAT https://t.co/m6PjT58oYg","{'neg': 0.19, 'neu': 0.81, 'pos': 0.0, 'compound': -0.6093}"
81,"#BREAKING  April 14, 2022 SONY IS BUYING BACK $SONY #STONKS 
https://t.co/hKiuAPdSKF
$SONY #SONY
#nikkei… https://t.co/ZC7m4wZrUF","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
82,RT @TicTocTick: Smash the like 💕 button if your beak 🐦 got wet this week by my earnings call on $NFLX or $FB or $TSLA or $AMZN or $GOOG and…,"{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.3612}"
83,$SONY SONY THE KING OF THE #METAVERSE JUNGLE $SNE $MSFT $FB $RBLX $GOOG $AAPL https://t.co/veIyv7aqGR #ps5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
84,"RT @sonycomeback: @OzraeliAvi @agoyal00 Bill gates has a $500M SHORT SELL position in $TSLA Tesla
Bill could have bought $SONY SONY to the…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
85,"Today's Market Heatmap - April 29

$TSLA +2.16%
$AMZN -11.14%
$TWTR +0.83%
$AAPL -1.25%
$CVX -0.19%
$XOM +0.62%… https://t.co/tFXfCcaYu3","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
86,"RT @sonycomeback: $SONY #SONY @sony @PlayStation
@sonymusic @SonyPictures time to increase prices for content charge #streamers #streaming…","{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.3182}"
87,RT @sonycomeback: Antitrust may prevent $MSFT Microsoft from buying more #gaming studios but none prevents Elon or Bill Gates from buying 4…,"{'neg': 0.06, 'neu': 0.894, 'pos': 0.047, 'compound': -0.0729}"
88,"RT @sonycomeback: Does $TSLA tesla's Elon Musk think $SONY #Sony is the low.  Hanging.  Fruit?????
#Theoneandonly
#therealthing
#Ps5
#Gamin…","{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.4696}"
89,I've  made 36k  with them . If you really want to make a huge profit on trading .... Choose this professional chat… https://t.co/CvasdpGTa3,"{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.6997}"
90,"Now is a time whoever asked about these stocks.
$amzn $goog $aapl 🌈🤑💰🚀","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
91,"Hey @BillGates
Leave some $SONY #Sony shares for me please you probably now own a bigger % in $SONY Sony Group than… https://t.co/PGG90lTjOn","{'neg': 0.051, 'neu': 0.759, 'pos': 0.19, 'compound': 0.5106}"
92,"💥 $YUKA News April 28, 2022 💥
 💥 Yuka Group Inc. Takes in Demand Skincare Devices by Storm With Internationally Syn… https://t.co/mmWfH2eoxm","{'neg': 0.077, 'neu': 0.923, 'pos': 0.0, 'compound': -0.128}"
93,$Goog is al aan het crashen. Er kan nog een pullback volgen maar de diepte naar $1000 lonkt https://t.co/NUGEi6q7Sk,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
94,2 down 2 remaining. Not sure how the market can hold up with big cap tech breaking 2022 lows. $AMZN $GOOG now $MSFT $AAPL are the one to at.,"{'neg': 0.131, 'neu': 0.869, 'pos': 0.0, 'compound': -0.4141}"
95,"RT @ShortSqueezed1: Employee donations to #midterms by party

#Democrat vs. #Republican 

$NFLX
$TWTR
$ABNB
$AAPL
#Stripe 
$LYFT 
$GOOG $GO…","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.4019}"
96,$GOOG in play if it holds above 2350,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.34}"
97,in $goog next week 2550s for 2.60-2.80,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
98,"~When I was novice I made a lot of mistakes then I came to know about this C0mmunity.,,.,https://t.co/UijPhsrts2… https://t.co/sa1HXORChD","{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.3612}"
99,"@theDividendKid $GOOG if it falls under $2300 again. $AMZN if it falls under $2500. And of course, $VYM no matter what it does.","{'neg': 0.091, 'neu': 0.864, 'pos': 0.045, 'compound': -0.2732}"
